股票名称,股票代码,今开,成交量,最高,涨停,内盘,成交额,委比,流通市值,市盈率MRQ,每股收益,总股本,昨收,换手率,最低,跌停,外盘,振幅,量比,总市值,市净率,每股净资产,流通股本
国投安信,sh600061,15.07,9.50万手,15.41,16.65,3.88万手,1.45亿,-22.91%,301.03亿,20.11,0.57,36.94亿,15.14,0.48%,15.05,"
                        13.63",5.63万手,2.38%,0.92,566.68亿,2.1,7.31,19.62亿
华润双鹤,sh600062,23.76,4.22万手,23.85,26.22,2.54万手,9955.58万,38.16%,135.38亿,24.02,0.99,7.24亿,23.84,0.74%,23.39,"
                        21.46",1.68万手,1.93%,0.64,171.55亿,2.57,9.23,5.72亿
皖维高新,sh600063,5,20.39万手,5.03,5.49,10.30万手,1.02亿,-36.33%,76.31亿,61.77,0.06,16.46亿,4.99,1.34%,4.96,"
                        4.49",10.09万手,1.40%,1.55,82.62亿,2.22,2.27,15.20亿
南京高科,sh600064,17.6,11.15万手,17.88,19.39,5.22万手,1.98亿,-64.32%,137.89亿,11.4,1.17,7.72亿,17.63,1.44%,17.57,"
                        15.87",5.93万手,1.76%,1.76,137.89亿,1.44,12.41,7.72亿
*ST联谊,sh600065,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"
                        --",--,--,--,--,--,--,--
宇通客车,sh600066,21.44,24.41万手,21.88,23.54,11.42万手,5.29亿,68.50%,409.25亿,15.68,1.03,22.14亿,21.4,1.28%,21.42,"
                        19.26",12.99万手,2.15%,4.18,476.00亿,4.03,5.34,19.03亿
冠城大通,sh600067,6.99,9.80万手,7.1,7.68,5.27万手,6907.80万,-16.75%,105.64亿,32.86,0.22,14.92亿,6.98,0.66%,6.94,"
                        6.28",4.53万手,2.29%,1.01,105.64亿,1.55,4.57,14.92亿
葛洲坝,sh600068,12.19,119.68万手,12.49,13.38,59.30万手,14.60亿,-15.81%,504.88亿,18.74,0.49,46.05亿,12.16,2.88%,11.93,"
                        10.94",60.38万手,4.61%,2.07,560.40亿,1.49,8.15,41.49亿
银鸽投资,sh600069,10.82,13.98万手,11.02,11.98,7.63万手,1.52亿,-10.21%,90.05亿,--,-0.09,12.49亿,10.89,1.69%,10.8,"
                        9.80",6.35万手,2.02%,0.5,136.28亿,5.89,1.85,8.25亿
浙江富润,sh600070,13.35,3.84万手,13.43,14.61,1.83万手,5117.56万,19.74%,47.75亿,69.44,0.21,5.22亿,13.28,1.08%,13.23,"
                        11.95",2.01万手,1.51%,0.25,69.89亿,3.1,4.32,3.57亿
凤凰光学,sh600071,22.22,1.56万手,22.3,24.4,8449手,3459.93万,-71.84%,52.89亿,--,-0.49,2.37亿,22.18,0.66%,22.11,"
                        19.96",7130手,0.86%,0.64,52.89亿,13.56,1.64,2.37亿
中船科技,sh600072,19.6,14.92万手,20.15,21.7,6.92万手,2.95亿,-42.29%,95.78亿,--,-0.13,7.36亿,19.73,3.12%,19.35,"
                        17.76",7.99万手,4.05%,1.82,147.40亿,8.55,2.34,4.78亿
上海梅林,sh600073,10.84,7.52万手,10.88,11.97,4.12万手,8108.50万,2.40%,101.56亿,26.22,0.31,9.38亿,10.88,0.80%,10.7,"
                        9.79",3.40万手,1.65%,0.75,101.56亿,3.13,3.46,9.38亿
保千里,sh600074,13.36,17.77万手,13.42,14.7,7.95万手,2.37亿,-93.29%,121.26亿,39.75,0.25,24.38亿,13.36,1.96%,13.25,"
                        12.02",9.82万手,1.27%,0.45,326.43亿,7.94,1.69,9.06亿
新疆天业,sh600075,14.7,23.51万手,14.95,16.24,13.41万手,3.46亿,26.30%,64.17亿,19.07,0.58,6.95亿,14.76,5.36%,14.54,"
                        13.28",10.09万手,2.78%,3.57,101.63亿,2.67,5.49,4.39亿
康欣新材,sh600076,10.41,21.02万手,10.59,11.53,9.68万手,2.20亿,-29.74%,78.70亿,28.3,0.28,10.34亿,10.48,2.79%,10.31,"
                        9.43",11.34万手,2.67%,0.39,108.18亿,3.83,2.73,7.52亿
宋都股份,sh600077,5.09,10.45万手,5.16,5.6,4.61万手,5334.01万,-13.53%,69.15亿,60.85,0.06,13.40亿,5.09,0.78%,5.04,"
                        4.58",5.84万手,2.36%,0.5,69.15亿,1.79,2.88,13.40亿
澄星股份,sh600078,7.47,15.36万手,7.56,8.26,8.42万手,1.15亿,-33.51%,49.83亿,94.34,0.06,6.63亿,7.51,2.32%,7.39,"
                        6.76",6.94万手,2.26%,0.96,49.83亿,2.74,2.74,6.63亿
人福医药,sh600079,21.11,13.50万手,21.38,23.2,6.05万手,2.85亿,71.43%,222.19亿,32.52,0.48,12.86亿,21.09,1.28%,20.88,"
                        18.98",7.45万手,2.37%,1.78,270.20亿,2.75,7.64,10.58亿
金花股份,sh600080,11.67,5.04万手,11.8,12.91,3.40万手,5844.49万,24.80%,35.35亿,104.22,0.08,3.05亿,11.74,1.65%,11.48,"
                        10.57",1.64万手,2.73%,0.87,35.35亿,3.3,3.51,3.05亿
